id;;word;;definition;;speciality;;rank
n-verb-1;;ser;;to be . . . when dealing with an essential characteristic;;None;;8
n-verb-2;;haber;;to have . . . when used as a helping verb;;None;;11
n-verb-3;;haber de infinitivo, haber que infinitivo;;to have to do something . . . when dealing with the impersonal;;None;;11
n-verb-4;;estar;;to be . . . when dealing with locations or conditions;;None;;17
n-verb-5;;estar por infinitivo;;to be on the verge of doing something;;None;;17
n-verb-6;;estar a punto de infinitivo;;to be about to do something;;None;;17
n-verb-7;;tener (e-ie);;to have; to have property, to have years, to have a state of being;;None;;18
n-verb-8;;tener ganas de (e-ie);;to have the desire to;;None;;18
n-verb-9;;tener que (e-ie);;to have to;;None;;18
n-verb-10;;hacer (-go);;to make; to do;;None;;25
n-verb-11;;poder (o-ue);;to be able to;;None;;27
n-verb-12;;decir (e-i);;to tell, say;;None;;28
n-verb-13;;ir;;to go;;None;;30
n-verb-14;;ir a infinitivo;;to be going to do something;;None;;30
n-verb-15;;irse;;to leave;;None;;30
n-verb-16;;ver;;to see; to understand; to investigate or look into something; to visit or see someone;;None;;37
n-verb-17;;verse;;to find oneself; to appear; to meet up;;None;;37
n-verb-18;;dar;;to give; to hand, hand over; to yield;;None;;39
n-verb-19;;dar con algo o alguien;;to find something or someone;;None;;39
n-verb-20;;dar por infinitivo, dar en infinitivo;;to decide to infinitive;;None;;39
n-verb-21;;dar a luguar, dar sobre lugar;;to look over a place;;None;;39
n-verb-22;;dar luz, dar a luz;;to give birth;;None;;39
n-verb-23;;darse vuelta;;to turn;;None;;39
n-verb-24;;dar lo mismo;;to make no difference;;None;;39
n-verb-25;;darse a algo;;to give or devote oneself to something;;None;;39
n-verb-26;;dar por adjectivo, dar por participio;;to assume or consider someone or something to be adjective or participle;;None;;39
n-verb-27;;darse cuenta de;;to realize;;None;;39
n-verb-28;;darse a conocer;;make known;;None;;39
n-verb-29;;darse a la fuga;;escape, run, flee;;None;;39
n-verb-30;;darse cita;;meet, make a date, make an appointment;;None;;39
